Data Analyst,$37K-$66K (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY","Washington, DC",1 to 50 employees,Research & Development,Business Services,Unknown / Non-Applicable
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Revel
3.6","Brooklyn, NY","Seattle, WA",51 to 200 employees,Consulting,Business Services,$25 to $50 million (USD)
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"NALLAS CORPORATION
3.6","Jersey City, NJ","Newtown, PA",1 to 50 employees,Enterprise Software & Network Solutions,Information Technology,$1 to $5 million (USD)
Data Analyst,$46K-$87K (Glassdoor est.),3.5,"Pozent
3.5","New York, NY","Piscataway, NJ",1 to 50 employees,-1,-1,Less than $1 million (USD)
"Data Science Analyst, Capital Markets",$46K-$87K (Glassdoor est.),3.2,"SoFi
3.2","New York, NY","San Francisco, CA",1001 to 5000 employees,Lending,Finance,Unknown / Non-Applicable
Data Analyst (Games),$46K-$87K (Glassdoor est.),-1,Carry1st,"New York, NY",-1,-1,-1,-1,-1
Analyst/Associate Global Markets Credit Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Bank of America
3.7","New York, NY","Charlotte, NC",10000+ employees,Banks & Credit Unions,Finance,$10+ billion (USD)
Data Business Analyst,$46K-$87K (Glassdoor est.),-1,Clear Street,"New York, NY","New York, NY",51 to 200 employees,-1,-1,$1 to $5 million (USD)
Data Analyst with Excel/DAX/ PowerBI experience- Fulltime,$46K-$87K (Glassdoor est.),3.6,"Nutech Information Systems
3.6","New York, NY","Westmont, IL",1 to 50 employees,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
Data Science Analyst/Engineer,$46K-$87K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY","New York, NY",10000+ employees,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
Data Analyst,$46K-$87K (Glassdoor est.),4.6,"The Trevor Project
4.6","New York, NY","West Hollywood, CA",51 to 200 employees,Social Assistance,Non-Profit,$10 to $25 million (USD)
"Business Analyst, Data Platforms",$46K-$87K (Glassdoor est.),-1,Pinto,"New York, NY","New York, NY",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Behavioral Data Analyst,$46K-$87K (Glassdoor est.),-1,AB InBev,"New York, NY","Kyiv, Ukraine",1001 to 5000 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$46K-$87K (Glassdoor est.),5,"Whip Media Group
5.0","New York, NY","Santa Monica, CA",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Analyst -1+ year Contract - NYC,$46K-$87K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Analyst,$46K-$87K (Glassdoor est.),3,"Vettery
3.0","New York, NY","New York, NY",201 to 500 employees,Internet,Information Technology,Unknown / Non-Applicable
Data Analyst,$46K-$87K (Glassdoor est.),2.9,"Nesco Resource, LLC
2.9","New York, NY","Cleveland, OH",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$500 million to $1 billion (USD)
Advertising Data Analyst,$46K-$87K (Glassdoor est.),4,"Hearst Communications
4.0","New York, NY","San Francisco, CA",1 to 50 employees,Advertising & Marketing,Business Services,Less than $1 million (USD)
Data Analyst,$46K-$87K (Glassdoor est.),3.6,"MediaMath
3.6","New York, NY","New York, NY",501 to 1000 employees,Advertising & Marketing,Business Services,$100 to $500 million (USD)
Market Data Reporting Analyst,$46K-$87K (Glassdoor est.),4.9,"Jordan & Jordan
4.9","New York, NY","New York, NY",1 to 50 employees,Brokerage Services,Finance,Unknown / Non-Applicable
"Senior Analyst, Data Science",$46K-$87K (Glassdoor est.),3.9,"Roku
3.9","New York, NY","San Jose, CA",1001 to 5000 employees,IT Services,Information Technology,$500 million to $1 billion (USD)
"Senior Data Analyst, Disney+",$46K-$87K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,Motion Picture Production & Distribution,Media,$10+ billion (USD)
"Office of the CAO | Reference Data, Project Manager/Business Analyst",$46K-$87K (Glassdoor est.),3.8,"Citadel
3.8","New York, NY","Chicago, IL",1001 to 5000 employees,-1,-1,$50 to $100 million (USD)
Business Data Analyst,$46K-$87K (Glassdoor est.),3.7,"Xoriant Corporation
3.7","Jersey City, NJ","Sunnyvale, CA",1001 to 5000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Senior Data Analyst,$46K-$87K (Glassdoor est.),3.6,"Gemini
3.6","New York, NY","New York, NY",51 to 200 employees,Brokerage Services,Finance,Unknown / Non-Applicable
Data Scientist / Big Data Analytics Analyst,$46K-$87K (Glassdoor est.),3.6,"TSR, Inc.
3.6","Weehawken, NJ","Hauppauge, NY",201 to 500 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Data Reporting Analyst,$46K-$87K (Glassdoor est.),-1,NADAP NYS INC.,"New York, NY",-1,-1,-1,-1,-1
"Principal Data Analyst, LATAM - Disney Streaming Services",$46K-$87K (Glassdoor est.),4,"Walt Disney Co.
4.0","New York, NY","Burbank, CA",10000+ employees,Motion Picture Production & Distribution,Media,$10+ billion (USD)
Data Analyst II,$46K-$87K (Glassdoor est.),3.2,"Fragomen Worldwide
3.2","New York, NY","New York, NY",1001 to 5000 employees,Legal,Accounting & Legal,$500 million to $1 billion (USD)
"Data Analyst - Environmental, Social, and Governance",$46K-$87K (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY","New York, NY",10000+ employees,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Analyst,$46K-$87K (Glassdoor est.),3.9,"Real Capital Analytics
3.9","New York, NY","New York, NY",51 to 200 employees,Real Estate,Real Estate,$25 to $50 million (USD)
"Data Analyst, Revenue Analytics",$51K-$88K (Glassdoor est.),4.8,"Ro
4.8","New York, NY","New York, NY",51 to 200 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Data Analyst - Data Acquisition / Data Lineage,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Data Analyst - Data Scanning utilizing Rochade,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Data Analyst - Stitching,$51K-$88K (Glassdoor est.),3.6,"Perficient
3.6","New York, NY","Saint Louis, MO",1001 to 5000 employees,IT Services,Information Technology,$500 million to $1 billion (USD)
Junior Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Kforce
4.1","New York, NY","Tampa, FL",10000+ employees,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD)
"Data Analyst, Retail Media",$51K-$88K (Glassdoor est.),3.9,"Criteo
3.9","New York, NY","Paris, France",1001 to 5000 employees,Internet,Information Technology,$2 to $5 billion (USD)
Data Analyst,$51K-$88K (Glassdoor est.),3,"Royal Communications
3.0","New York, NY","New York, NY",1 to 50 employees,IT Services,Information Technology,$1 to $5 million (USD)
Portfolio Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Neuberger Berman
3.7","New York, NY","New York, NY",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$500 million to $1 billion (USD)
Data Science Analyst,$51K-$88K (Glassdoor est.),-1,Greater New York Mutual Insurance Companies (GNY),"New York, NY",-1,-1,-1,-1,-1
Data/Reporting Analyst,$51K-$88K (Glassdoor est.),3.9,"Diverse Lynx
3.9","New York, NY","Princeton, NJ",501 to 1000 employees,IT Services,Information Technology,$100 to $500 million (USD)
Data Analyst 2,$51K-$88K (Glassdoor est.),3.7,"eTeam Inc.
3.7","New York, NY","South Plainfield, NJ",51 to 200 employees,Staffing & Outsourcing,Business Services,$50 to $100 million (USD)
Entry Level Data Analyst,$51K-$88K (Glassdoor est.),-1,impakt Advisors,"New York, NY","New York, NY",1 to 50 employees,Consulting,Business Services,Unknown / Non-Applicable
Marketing Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Current
3.6","New York, NY","Colorado Springs, CO",201 to 500 employees,-1,-1,Unknown / Non-Applicable
Data/Information Mgt Analyst,$51K-$88K (Glassdoor est.),3.7,"Citi
3.7","New York, NY","New York, NY",10000+ employees,Investment Banking & Asset Management,Finance,$10+ billion (USD)
Business Data Analyst,$51K-$88K (Glassdoor est.),3.6,"Axelon Services Corporation
3.6","New York, NY","New York, NY",501 to 1000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Information Systems Officer (Data Analyst),$51K-$88K (Glassdoor est.),4.1,"United Nations
4.1","New York, NY","New York, NY",10000+ employees,Federal Agencies,Government,Unknown / Non-Applicable
Media Science Big Data Analyst,$51K-$88K (Glassdoor est.),3.5,"Discovery Communications, Inc.
3.5","New York, NY","New York, NY",10000+ employees,TV Broadcast & Cable Networks,Media,$5 to $10 billion (USD)
Data Analyst,$51K-$88K (Glassdoor est.),3.7,"Randstad
3.7","Jersey City, NJ","Atlanta, GA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
Data Analyst,$51K-$88K (Glassdoor est.),5,"Mulberry Technology
5.0","New York, NY","New York, NY (US), NY",1 to 50 employees,-1,-1,Unknown / Non-Applicable
Data analyst with Python,$51K-$88K (Glassdoor est.),4,"Two95 International Inc.
4.0","New York, NY","Cherry Hill, NJ",1 to 50 employees,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
Data Analyst,$51K-$88K (Glassdoor est.),4.8,"SoftStandard Solutions
4.8","New York, NY","Fremont, CA",51 to 200 employees,-1,-1,Unknown / Non-Applicable
Data Analyst,$51K-$88K (Glassdoor est.),5,"EDO, Inc.
5.0","New York, NY","Los Angeles, CA",1 to 50 employees,Internet,Information Technology,Unknown / Non-Applicable
"Healthcare Data Analyst, Qsight",$51K-$88K (Glassdoor est.),3.3,"Guidepoint
3.3","New York, NY","New York, NY",501 to 1000 employees,Research & Development,Business Services,Unknown / Non-Applicable
BA/Data Analyst,$51K-$88K (Glassdoor est.),4.1,"Mitchell Martin
4.1","New York, NY","New York, NY",501 to 1000 employees,Staffing & Outsourcing,Business Services,$100 to $500 million (USD)
Data Analyst Python,$51K-$88K (Glassdoor est.),4,"Lorven Technologies Inc
4.0","New York, NY","Plainsboro, NJ",1 to 50 employees,Accounting,Accounting & Legal,Less than $1 million (USD)
"Data Analyst, Bitcoin Trading Firm",$51K-$88K (Glassdoor est.),-1,Fintech Recruiters,"New York, NY","Dublin, Ireland",Unknown,-1,-1,Unknown / Non-Applicable
Data Analyst-BA,$51K-$88K (Glassdoor est.),1,"Sphinix Network Solutions Inc.
1.0","New York, NY","New York, NY",1 to 50 employees,IT Services,Information Technology,Less than $1 million (USD)
Data Analytics Solutions Analyst,$51K-$88K (Glassdoor est.),3.1,"Praescient Analytics
3.1","New York, NY","Alexandria, VA",51 to 200 employees,Consulting,Business Services,$10 to $25 million (USD)
Quantitative Data Analyst,$51K-$88K (Glassdoor est.),4.5,"Global Atlantic Financial Group
4.5","New York, NY","New York, NY",1001 to 5000 employees,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Analyst,$51K-$88K (Glassdoor est.),3.4,"FINRA
3.4","New York, NY","Washington, DC",1001 to 5000 employees,Brokerage Services,Finance,$500 million to $1 billion (USD)
Data Analyst,$51K-$87K (Glassdoor est.),-1,NYU Langone Medical Center,"New York, NY",-1,-1,-1,-1,-1
"Descriptive Analytics Data Analyst, IB",$51K-$87K (Glassdoor est.),3.6,"Jefferies
3.6","New York, NY","New York, NY",1001 to 5000 employees,Investment Banking & Asset Management,Finance,$2 to $5 billion (USD)
Data Analyst,$51K-$87K (Glassdoor est.),4.1,"RGP
4.1","New York, NY","Irvine, CA",1001 to 5000 employees,Consulting,Business Services,$500 million to $1 billion (USD)
Data Analyst,$51K-$87K (Glassdoor est.),4.4,"Tachyon Technologies
4.4","New York, NY","Irving, TX",201 to 500 employees,IT Services,Information Technology,$10 to $25 million (USD)
Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Apex Systems
3.8","Jersey City, NJ","Glen Allen, VA",1001 to 5000 employees,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD)
Data Analyst,$51K-$87K (Glassdoor est.),3.2,"Hagerty Consulting
3.2","New York, NY","Evanston, IL",1 to 50 employees,Consulting,Business Services,$1 to $5 million (USD)
Data Analyst,$51K-$87K (Glassdoor est.),-1,Gainful Health,"New York, NY","San Mateo, CA",1 to 50 employees,Food & Beverage Stores,Retail,Unknown / Non-Applicable
Business Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Cortex consultants LLC
3.8","New York, NY","North Brunswick, NJ",501 to 1000 employees,Consulting,Business Services,Unknown / Non-Applicable
Data Analyst,$51K-$87K (Glassdoor est.),4.7,"Medly Pharmacy
4.7","Brooklyn, NY","Brooklyn, NY",201 to 500 employees,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
Healthcare Data Analyst,$51K-$87K (Glassdoor est.),2.3,"Fair Health
2.3","New York, NY","New York, NY",1 to 50 employees,-1,-1,$10 to $25 million (USD)
Supply Chain Data Analyst,$51K-$87K (Glassdoor est.),3.8,"Peloton Interactive
3.8","New York, NY","New York, NY",1001 to 5000 employees,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
